Ranking,Country,Price Index
1,Bermuda,317
2,Cayman Islands,310
3,Switzerland,260
4,Hong Kong,250
5,Bahamas,234
6,Ireland,212
7,Norway,208
8,Singapore,203
9,Denmark,200
10,Israel,196
11,Qatar,193
12,Luxembourg,191
13,United States,190
14,United Kingdom,189
15,Netherlands,187
16,United Arab Emirates,186
17,New Zealand,183
18,Japan,180
19,France,179
20,Australia,174
21,Lebanon,173
22,Finland,173
23,Sweden,166
24,Canada,164
25,Germany,164
26,Taiwan,157
27,Belgium,156
28,South Korea,154
29,Malta,149
30,Austria,148
31,Bahrain,146
32,Italy,145
33,Cyprus,141
34,Spain,135
35,Slovenia,132
36,Jordan,130
37,Panama,126
38,Costa Rica,126
39,Portugal,125
40,Greece,124
41,Estonia,121
42,Latvia,121
43,Mauritius,121
44,Botswana,116
45,Thailand,114
46,Uruguay,113
47,Croatia,112
48,Slovakia,109
49,Lithuania,108
50,Chile,102
51,China,102
52,Czech Republic,100
53,Philippines,99
54,Ecuador,99
55,Kenya,96
56,Guatemala,95
57,Hungary,95
58,Malaysia,92
59,Poland,91
60,Dominican Republic,89
61,Bolivia,89
62,Uganda,89
63,South Africa,88
64,Albania,88
65,Russia,88
66,Indonesia,87
67,Bulgaria,87
68,Peru,86
69,Morocco,86
70,Serbia,86
71,Romania,84
72,Bosnia and Herzegovina,82
73,Egypt,82
74,Brazil,81
75,Mexico,79
76,Azerbaijan,75
77,Turkey,75
78,Ukraine,75
79,Colombia,74
80,Tanzania,74
81,Paraguay,72
82,Kazakhstan,69
83,Georgia,67
84,India,64